2011,2011,2045,2045,4237,4237,4238,4238,4239,4239,4240,4240,576,576,2050,2050,499,499,2051,2051,4244,4244,4245,4245,1172,1172,2055,2055,4248,4248,4249,4249,2059,2059,2060,2060,2061,2061,744,744,2062,2062,2063,2063,4256,4256,2065,2065,2066,2066,2067,2067,2068,2068,1726,1726,2069,2069,2070,2070,2071,2071,2072,2072,2073,2073,2074,2074,4267,4267,4268,4268,2077,2077,2078,2078,2079,2079,2080,2080,2081,2081,2082,2082,4275,4275,2084,2084,2085,2085,2086,2086,2087,2087,1467,1467,2088,2088,2089,2089,2090,2090,4282,4282,2091,2091,2092,2092,4285,4285,4286,4286,2096,2096,2097,2097,2098,2098,838,838,2099,2099,2100,2100,2101,2101,2044,2044
4203,4203,1609,1609,2046,2046,2047,2047,2048,2048,2049,2049,2768,2768,2768,4242,499,499,4243,2052,2053,2053,2054,2054,1172,1172,4247,2056,2057,2057,2058,2058,4251,4251,4252,4252,4253,4253,2936,2936,4254,4254,4255,4255,1318,1318,1318,4257,4258,4258,4259,4259,4260,4260,3918,3918,4261,4261,4262,4262,4263,4263,4264,4264,4265,4265,4266,4266,2076,2076,442,442,4269,4269,4270,4270,4271,4271,4272,4272,4273,4273,4274,4274,443,443,443,4276,4277,4277,4278,4278,4279,4279,3659,3659,4280,4280,4281,4281,4019,2090,1862,1862,4283,4283,4284,4284,2094,2094,2095,2095,4288,4288,4289,4289,4290,4290,3030,3030,4291,4291,4292,4292,4293,4293,4236,4236
2043,2043,3801,3801,608,608,2047,2047,1142,1142,4241,4241,1415,1415,1520,1520,2691,2691,1742,1742,662,662,4246,4246,3364,3364,668,668,1262,1262,4250,4250,1261,1261,720,720,1260,1260,3452,3452,1409,1409,2064,2064,434,434,3510,3510,283,283,1549,1549,1767,1767,3959,3959,1513,1513,1918,1918,4110,4110,1648,1648,626,626,2075,2075,939,939,2634,2634,1530,1530,1837,1837,4029,4029,3908,3908,1283,1283,2083,2083,2635,2635,2779,2779,1567,1567,1395,1395,1217,1217,3409,3409,586,586,1827,1827,521,521,4054,4054,1901,1901,2093,2093,589,589,4287,4287,629,629,1229,1229,856,856,3048,3048,235,235,1204,1204,1725,1725,3917,3917
4235,4235,1516,1516,2800,2800,1493,3685,3334,3334,1314,3506,3607,3607,3607,3712,1935,1935,1935,3934,2854,2854,1011,3203,1620,1620,1620,2860,3454,3454,689,2881,3453,3453,2912,344,344,1260,1246,3438,3601,3601,890,3082,2626,2626,2626,1656,2475,2475,3741,804,2996,1767,256,256,3705,3705,522,522,1084,1084,3276,3840,2818,2818,842,3034,3131,3131,465,465,3722,3722,524,524,1716,1716,254,2446,3475,3475,1643,3835,587,587,2779,2779,1567,1567,3587,478,2670,1217,1593,3785,586,586,1607,3799,2713,2713,1266,3458,4093,4093,544,544,2781,2781,1264,3456,2821,2821,3421,433,433,856,1113,3305,235,235,3396,568,2760,1725,2103,4295
2042,2042,3708,3708,3354,3354,844,844,1770,1770,424,424,3640,3640,782,782,4127,4127,2355,2355,961,961,219,219,458,458,3812,3812,312,312,1248,1248,325,325,1247,1247,2268,2268,2536,2536,363,363,1570,1570,3762,3762,610,610,1013,1013,3205,3205,1825,1825,2448,2448,1485,1485,2714,2714,1277,1277,310,310,818,818,172,172,1582,1582,2657,2657,1225,1225,2716,2716,919,919,652,652,912,912,631,631,1384,1384,1336,1336,335,335,3759,3759,1606,1606,940,940,2778,2778,1511,1511,1826,1826,1861,1861,2736,2736,1265,1265,244,244,1256,1256,161,161,1008,1008,2625,2625,1533,1533,3725,3725,2427,2427,1417,1417,2104,2104
4234,4234,1162,1162,208,208,208,3036,1770,1770,2616,1448,295,295,295,2974,163,163,1507,1507,3153,3153,2411,2411,2650,2650,966,966,2504,2504,2504,3440,2517,2517,2517,3439,2268,2268,1241,3433,2555,2555,1240,1240,82,82,82,2802,3848,1013,520,520,4017,4017,1121,1121,3677,3677,1139,1139,3469,3469,2502,2502,3010,3010,2364,2364,3774,3774,1739,1739,3417,3417,1547,1547,3111,3111,2844,2844,3104,3104,3104,2823,3576,3576,3528,3528,335,335,89,2281,3798,3798,3798,3132,115,115,115,3703,1826,1826,4053,4053,1900,1900,1900,3457,2436,2436,2436,3448,2353,2353,3200,3200,1007,1007,1007,1533,3725,3725,1350,3542,3609,3609,3609,4296
2041,2041,2040,2040,675,675,2400,2400,3962,3962,96,96,978,978,2487,2487,1368,1368,3699,3699,1147,1147,454,454,3158,3158,68,68,1239,1239,242,242,1238,1238,76,76,1095,1095,1583,1583,241,241,3432,3432,1699,1699,2274,2274,1518,1518,2712,2712,849,849,3313,3313,482,482,3331,3331,199,199,2391,2391,1072,1072,1073,1073,1122,1122,3931,3931,1166,1166,3739,3739,519,519,184,184,1117,1117,128,128,887,887,3079,3079,2527,2527,3941,3941,1711,1711,1319,1319,1880,1880,2307,2307,1255,1255,4018,4018,1254,1254,4092,4092,1257,1257,674,674,747,747,945,945,366,366,3199,3199,802,802,365,365,2105,2105,4297,4297
4233,4233,4232,4232,2867,2867,835,3027,470,470,2662,2288,3170,3170,1420,3612,3560,3560,760,2952,3339,3339,2646,2646,1598,1598,3790,3790,2260,1239,3431,2434,3430,3430,1670,3862,3287,3287,3775,3775,2433,2433,907,907,3891,3891,1872,4064,3710,3710,173,2365,3041,3041,48,48,48,482,2674,1639,3831,199,1001,3193,3264,3264,3265,841,3033,1122,3314,3931,3358,3358,135,2327,2711,2711,2376,2376,3309,3309,2320,755,2947,887,1325,3517,1749,1749,402,2594,3903,3903,3903,3511,4072,4072,551,2743,3447,3447,245,2437,3446,3446,139,2331,3449,3449,2866,2866,2939,2939,3137,3137,2558,2558,77,2269,2994,2994,665,2857,2557,2105,2106,4298
1207,1207,1548,1548,1138,1138,3330,3330,1646,1646,1174,1174,425,425,1434,1434,204,204,1118,1118,75,75,1647,1647,902,902,819,819,1046,1046,1515,1515,750,750,1355,1355,897,897,213,213,1633,1633,3099,3099,1377,1377,1018,1018,1889,1889,655,655,748,748,2240,2240,333,333,875,875,1112,1112,45,45,414,414,1066,1066,456,456,2648,2648,1428,1428,607,607,3411,3411,1468,1468,580,580,1933,1933,4125,4125,1728,1728,692,692,1402,1402,1047,1047,1879,1879,1233,1233,577,577,588,588,622,622,628,628,1245,1245,3437,3437,31,31,1644,1644,1750,1750,3942,3942,1681,1681,566,566,1288,1288,3480,3480,2107,2107
3399,3399,3399,3740,2661,1138,132,132,3838,3838,3838,3366,2617,2617,2617,3626,2396,2396,3310,3310,2267,2267,2267,3839,3094,3094,3094,3011,3238,3238,3238,3707,2942,2942,3547,3547,3089,3089,3089,2405,1633,1633,430,2622,3569,3569,3210,3210,4081,4081,2847,2847,2940,2940,1136,1136,2525,2525,2525,3067,3304,3304,3304,2237,2606,2606,3258,3258,2285,456,415,415,3620,3620,3620,2799,1650,1650,1650,3660,2772,2772,789,789,1892,1892,1892,1728,2884,2884,3594,3594,3239,3239,4071,4071,3425,3425,3425,2769,588,588,2814,2814,2820,2820,239,239,1236,1236,1236,2223,3836,3836,1575,1575,937,937,937,3873,2758,2758,1599,1599,263,263,263,4299
